Time [s], Analyzer Name, Decoded Protocol Result
0.000204666666667,I2C,Setup Write to [0] + ACK
0.003799583333333,I2C,5 + ACK
0.007405916666667,I2C,4 + ACK
0.011002166666667,I2C,132 + ACK
0.014601916666667,I2C,136 + ACK
0.018202500000000,I2C,19 + ACK
0.021802833333333,I2C,216 + ACK
0.400674083333333,I2C,Setup Read to [211] + ACK
0.404280083333333,I2C,7 + ACK
0.407875416666667,I2C,5 + ACK
0.411475833333333,I2C,58 + ACK
0.415077333333333,I2C,0 + ACK
0.418677416666667,I2C,18 + ACK
0.422283416666667,I2C,66 + ACK
0.425878333333333,I2C,0 + ACK
0.429478916666667,I2C,102 + NAK
0.801028166666667,I2C,Setup Write to [0] + ACK
0.804628916666667,I2C,9 + ACK
0.808230416666667,I2C,6 + ACK
0.811835833333333,I2C,215 + ACK
0.815430916666667,I2C,20 + ACK
0.819046583333333,I2C,0 + ACK
0.822631916666667,I2C,159 + ACK
0.826233416666667,I2C,2 + ACK
0.829838750000000,I2C,138 + ACK
0.833433916666667,I2C,3 + ACK
0.837040583333333,I2C,216 + ACK
1.201662750000000,I2C,Setup Write to [0] + ACK
1.205263500000000,I2C,5 + ACK
1.208864500000000,I2C,4 + ACK
1.212465666666667,I2C,132 + ACK
1.216071500000000,I2C,136 + ACK
1.219666000000000,I2C,19 + ACK
1.223266833333333,I2C,216 + ACK
1.601543583333333,I2C,Setup Read to [211] + ACK
1.605136833333333,I2C,7 + ACK
1.608743416666667,I2C,5 + ACK
1.612338166666667,I2C,58 + ACK
1.615938750000000,I2C,0 + ACK
1.619486916666667,I2C,18 + ACK
1.623140083333333,I2C,66 + ACK
1.626746583333333,I2C,0 + ACK
1.630341500000000,I2C,102 + NAK
2.001490416666666,I2C,Setup Write to [0] + ACK
2.005091083333333,I2C,9 + ACK
2.008692416666667,I2C,6 + ACK
2.012297833333333,I2C,215 + ACK
2.015893083333333,I2C,20 + ACK
2.019499750000000,I2C,0 + ACK
2.023094166666667,I2C,159 + ACK
2.026696083333333,I2C,2 + ACK
2.030301083333333,I2C,138 + ACK
2.033896166666667,I2C,3 + ACK
2.037502500000000,I2C,216 + ACK
2.401644583333333,I2C,Setup Write to [0] + ACK
2.405245333333333,I2C,5 + ACK
2.408846833333333,I2C,4 + ACK
2.412452000000000,I2C,132 + ACK
2.416047250000000,I2C,136 + ACK
2.419663000000000,I2C,19 + ACK
2.423248250000000,I2C,216 + ACK
2.802398583333333,I2C,Setup Read to [211] + ACK
2.806015833333333,I2C,7 + ACK
2.809600166666667,I2C,5 + ACK
2.813200500000000,I2C,58 + ACK
2.816801166666667,I2C,0 + ACK
2.820402083333333,I2C,18 + ACK
2.824009166666666,I2C,66 + ACK
2.827603250000000,I2C,0 + ACK
2.831204166666667,I2C,102 + NAK
3.201887916666667,I2C,Setup Write to [0] + ACK
3.205517416666666,I2C,9 + ACK
3.209147416666667,I2C,6 + ACK
3.212761250000000,I2C,215 + ACK
3.216355916666667,I2C,20 + ACK
3.219971916666667,I2C,0 + ACK
3.223557583333333,I2C,159 + ACK
3.227158750000000,I2C,2 + ACK
3.230764416666667,I2C,138 + ACK
3.234359250000000,I2C,3 + ACK
3.237965500000000,I2C,216 + ACK
3.602106833333333,I2C,Setup Write to [0] + ACK
3.605707500000000,I2C,5 + ACK
3.609308833333333,I2C,4 + ACK
3.612914583333333,I2C,132 + ACK
3.616509666666667,I2C,136 + ACK
3.620115333333333,I2C,19 + ACK
3.623710666666667,I2C,216 + ACK
4.001260083333333,I2C,Setup Read to [211] + ACK
4.004866583333333,I2C,7 + ACK
4.008462416666666,I2C,5 + ACK
4.012061750000000,I2C,58 + ACK
4.015662583333333,I2C,0 + ACK
4.019263166666667,I2C,18 + ACK
4.022869750000000,I2C,66 + ACK
4.026465666666667,I2C,0 + ACK
4.030071250000000,I2C,102 + NAK
4.403214916666666,I2C,Setup Write to [0] + ACK
4.406815833333333,I2C,9 + ACK
4.410415916666667,I2C,6 + ACK
4.414022583333334,I2C,215 + ACK
4.417618833333333,I2C,20 + ACK
4.421218250000000,I2C,0 + ACK
4.424818916666666,I2C,159 + ACK
4.428419583333334,I2C,2 + ACK
4.432025916666666,I2C,138 + ACK
4.435621916666666,I2C,3 + ACK
4.439227250000000,I2C,216 + ACK
4.801495250000000,I2C,Setup Write to [0] + ACK
4.805139166666667,I2C,5 + ACK
4.808755166666667,I2C,4 + ACK
4.812371083333334,I2C,132 + ACK
4.815971333333334,I2C,136 + ACK
4.819572416666666,I2C,19 + ACK
4.823178500000000,I2C,216 + ACK
5.202443916666667,I2C,Setup Read to [211] + ACK
5.206050000000000,I2C,7 + ACK
5.209644916666667,I2C,5 + ACK
5.213245916666667,I2C,58 + ACK
5.216847250000000,I2C,0 + ACK
5.220447000000000,I2C,18 + ACK
5.224053583333333,I2C,66 + ACK
5.227648583333333,I2C,0 + ACK
5.231248833333333,I2C,102 + NAK
5.602677416666666,I2C,Setup Write to [0] + ACK
